npaid,smiles
NPA000575,CC[C@H](C)[C@@H]1C(=O)N([C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N([C@@H](C(=O)N[C@@H](C(=O)N1)[C@@H](C(C)C)O)C)C)C)C)CC(C)C)CC(C)C)C)C)C
NPA000582,CCCCCC(=O)C(C[C@H]1[C@@H](CC(=O)O1)C)CO
NPA000584,CC[C@H]1C(=O)N[C@H](C(=O)O[C@@H]([C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@H](C(=O)N1)C(C)C)CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)NC(=O)CC4=CC=CC=C4)C)C(C)C
NPA000585,C[C@@H]([C@@H]([C@H](CC1=CC=CC=C1)NC(=O)[C@@H]2CCCNN2C(=O)[C@@H]([C@@H](C(C)C)O)NC(=O)COC)O)C(=O)N[C@H]3CCN(C3=O)C(=O)C
NPA000586,C[C@@H]1[C@@H]([C@](OC1=O)(C)/C=C/C=C/C(=C/C=C/C(=C/C(=O)/C=C/C=C(\C)/C=C/C(C)NC(=O)C(C)C/C=C/CC(CC2=CC=C(C=C2)O)O)/O)/C)OC
NPA000591,CCC(C)CC(C)CC(C)C(C(C)/C=C(\C)/C(C(C)/C=C(\C)/C(C(C)/C=C(\C)/C(C(C)C(=O)OC[C@H]([C@@H]([C@@H](CO)O)O)O)O)O)O)O[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)COC(=O)C)O)O)O
NPA000593,C/C=C\1/C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](CC(=O)N[C@H](C(=O)N[C@H]([C@@H](C(=O)N[C@H](CCC(=O)N1)C(=O)O)C)/C=C/C(=C/[C@H](C)[C@H](CC2=CC=CC=C2)OC)/C)CCCN=C(N)N)C(=O)O)CCC(C)C)C
NPA000596,C=C1/C=C/C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)O[C@H]([C@@H](C)CCCCCC)[C@@H](CCO)C(=O)N1
NPA000606,CCCC1C(C(=O)O[C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N2CCC[C@H]2C(=O)N([C@@H](C(=O)NCC(=O)O1)CC3=CC=CC=C3)C)C(C)C)C)C)C(C)C)(C)C
NPA000607,C[C@@H]([C@H](C[C@H](C[C@@H](C[C@@H](C/C=C/C1C[C@H](C[C@]2(O1)C[C@H](C[C@H](O2)C/C=C/C=C/C=C/C=C/C=C(\C)/C(=O)C)O)O)O)O)O)O)[C@H](C(C)C)O
NPA000617,CCCCCCC(C)/C=C(\C)/[C@@H]([C@H]1C=C(C(=O)O1)/C=C/C(=O)O)O
NPA000627,CC[C@H](C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N1)CCCN)CCCCNC(=O)[C@H](C(C)C)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CSC(=N2)[C@H]([C@@H](C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4
NPA000634,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)N2C[C@H](C[C@H]2C(=O)N[C@H](C=N[C@H](C(=O)NCC(=O)N[C@@H](C(=O)N1)CCC(=O)N)CC3=CC=C(C=C3)O)CC4=CC=C(C=C4)C)C)CO
NPA000641,CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)N(C(C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C)C)C(C)C
NPA000648,CC(C)[C@@H](C(=O)N[C@@H](CCC1=CC=C(C=C1)O)C(=O)O)N(C)C(=O)[C@H](CO)NC(=O)[C@H]([C@@H](CCCCCCCCl)N)O
NPA000655,CCC(C)CCCCCCCCC1CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)O1)C(C)C)CC(C)C)CC(=O)O)C(C)C)CC(C)C)CC(C)C)CCC(=O)N
NPA000662,CCC(C)CCCCCCC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]3[C@@H](OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CC(=O)N)C(C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C
